id,武将名,英字名,家名,生年,没年,出典,確認状況,シナリオ1550,シナリオ1560,シナリオ1568,シナリオ1574,シナリオ1578,シナリオ1582
oda_nobunaga,織田信長,Oda Nobunaga,oda,1534,1582,Wikidata / verified data,生没年確認,○,○,○,○,○,○
shibata_katsuie,柴田勝家,Shibata Katsuie,oda,1522,1583,Wikidata / verified data,生没年確認,○,○,○,○,○,○
niwa_nagahide,丹羽長秀,Niwa Nagahide,oda,1535,1585,Wikidata / verified data,生没年確認,○,○,○,○,○,○
hashiba_hideyoshi,羽柴秀吉,Hashiba Hideyoshi,oda,,,未確認,未確認,?,?,?,?,?,?
akechi_mitsuhide,明智光秀,Akechi Mitsuhide,oda,1516,1582,Wikidata / verified data,生没年確認,○,○,○,○,○,○
takigawa_kazumasu,滝川一益,Takigawa Kazumasu,oda,1525,1586,Wikidata / verified data,生没年確認,○,○,○,○,○,○
sakuma_nobumori,佐久間信盛,Sakuma Nobumori,oda,1527,1582,Wikidata / verified data,生没年確認,○,○,○,○,○,○
maeda_toshiie,前田利家,Maeda Toshiie,oda,1538,1599,Wikidata / verified data,生没年確認,×,○,○,○,○,○
ikeda_tsuneoki,池田恒興,Ikeda Tsuneoki,oda,1536,1584,Wikidata / verified data,生没年確認,○,○,○,○,○,○
mori_yoshinari,森可成,Mori Yoshinari,oda,1523,1570,Wikidata / verified data,生没年確認,○,○,○,×,×,×
sassa_narimasa,佐々成政,Sassa Narimasa,oda,1536,1588,Wikidata / verified data,生没年確認,○,○,○,○,○,○
hayashi_hidesada,林秀貞,Hayashi Hidesada,oda,1513,1580,Wikidata / verified data,生没年確認,○,○,○,○,○,×
hori_hidemasa,堀秀政,Hori Hidemasa,oda,1553,1590,Wikidata / verified data,生没年確認,×,×,○,○,○,○
takeda_shingen,武田信玄,Takeda Shingen,takeda,1521,1573,Wikidata / verified data,生没年確認,○,○,○,×,×,×
takeda_katsuyori,武田勝頼,Takeda Katsuyori,takeda,1546,1582,Wikidata / verified data,生没年確認,×,○,○,○,○,○
takeda_nobushige,武田信繁,Takeda Nobushige,takeda,1525,1561,Wikidata / verified data,生没年確認,○,○,×,×,×,×
baba_nobuharu,馬場信春,Baba Nobuharu,takeda,1514,1575,Wikidata / verified data,生没年確認,○,○,○,○,×,×
yamagata_masakage,山県昌景,Yamagata Masakage,takeda,1524,1575,Wikidata / verified data,生没年確認,○,○,○,○,×,×
naito_masatoyo,内藤昌豊,Naito Masatoyo,takeda,1522,1575,Wikidata / verified data,生没年確認,○,○,○,○,×,×
kosaka_masanobu,高坂昌信,Kosaka Masanobu,takeda,,,未確認,未確認,?,?,?,?,?,?
obu_toramasa,飯富虎昌,Obu Toramasa,takeda,1504,1565,Wikidata / verified data,生没年確認,○,○,×,×,×,×
sanada_yukitaka,真田幸隆,Sanada Yukitaka,takeda,1512,1574,Wikidata / verified data,生没年確認,○,○,○,○,×,×
sanada_masayuki,真田昌幸,Sanada Masayuki,takeda,1547,1611,Wikidata / verified data,生没年確認,×,○,○,○,○,○
anayama_baisetsu,穴山梅雪,Anayama Baisetsu,takeda,,,未確認,未確認,?,?,?,?,?,?
oyamada_nobushige,小山田信茂,Oyamada Nobushige,takeda,1545,1582,Wikidata / verified data,生没年確認,×,○,○,○,○,○
uesugi_kenshin,上杉謙信,Uesugi Kenshin,uesugi,1530,1578,Wikidata / verified data,生没年確認,○,○,○,○,○,×
uesugi_kagekatsu,上杉景勝,Uesugi Kagekatsu,uesugi,1556,1623,Wikidata / verified data,生没年確認,×,×,×,○,○,○
naoe_kagetsuna,直江景綱,Naoe Kagetsuna,uesugi,1509,1577,Wikidata / verified data,生没年確認,○,○,○,○,×,×
kakizaki_kageie,柿崎景家,Kakizaki Kageie,uesugi,1513,1574,Wikidata / verified data,生没年確認,○,○,○,○,×,×
usami_sadamitsu,宇佐美定満,Usami Sadamitsu,uesugi,1489,1564,Wikidata / verified data,生没年確認,○,○,×,×,×,×
saito_tomonobu,斎藤朝信,Saito Tomonobu,uesugi,1527,1591,Wikidata / verified data,生没年確認,○,○,○,○,○,○
honjo_shigenaga,本庄繁長,Honjo Shigenaga,uesugi,1540,1614,Wikidata / verified data,生没年確認,×,○,○,○,○,○
amakasu_kagemochi,甘粕景持,Amakasu Kagemochi,uesugi,1501,1604,Wikidata / verified data,生没年確認,○,○,○,○,○,○
naoe_kanetsugu,直江兼続,Naoe Kanetsugu,uesugi,1560,1620,Wikidata / verified data,生没年確認,×,×,×,×,○,○
hojo_ujiyasu,北条氏康,Hojo Ujiyasu,hojo,1515,1571,Wikidata / verified data,生没年確認,○,○,○,×,×,×
hojo_ujimasa,北条氏政,Hojo Ujimasa,hojo,1538,1590,Wikidata / verified data,生没年確認,×,○,○,○,○,○
hojo_tsunashige,北条綱成,Hojo Tsunashige,hojo,1515,1587,Wikidata / verified data,生没年確認,○,○,○,○,○,○
hojo_ujiteru,北条氏照,Hojo Ujiteru,hojo,1542,1590,Wikidata / verified data,生没年確認,×,○,○,○,○,○
hojo_ujikuni,北条氏邦,Hojo Ujikuni,hojo,1548,1597,Wikidata / verified data,生没年確認,×,×,○,○,○,○
matsuda_norihide,松田憲秀,Matsuda Norihide,hojo,,1590,Wikidata / verified data,一部確認,?,?,?,?,?,?
daidoji_masashige,大道寺政繁,Daidoji Masashige,hojo,1533,1590,Wikidata / verified data,生没年確認,○,○,○,○,○,○
fuma_kotaro,風魔小太郎,Fuma Kotaro,hojo,1550,,Wikidata / verified data,一部確認,×,×,○,○,○,○
imagawa_yoshimoto,今川義元,Imagawa Yoshimoto,imagawa,1519,1560,Wikidata / verified data,生没年確認,○,○,×,×,×,×
imagawa_ujizane,今川氏真,Imagawa Ujizane,imagawa,1538,1615,Wikidata / verified data,生没年確認,×,○,○,○,○,○
taigen_sessai,太原雪斎,Taigen Sessai,imagawa,1496,1555,Wikidata / verified data,生没年確認,○,×,×,×,×,×
asahina_yasutomo,朝比奈泰朝,Asahina Yasutomo,imagawa,1538,,Wikidata / verified data,一部確認,×,○,○,○,○,○
okabe_motonobu,岡部元信,Okabe Motonobu,imagawa,1505,1581,Wikidata / verified data,生没年確認,○,○,○,○,○,×
tokugawa_ieyasu,徳川家康,Tokugawa Ieyasu,tokugawa,1543,1616,Wikidata / verified data,生没年確認,×,○,○,○,○,○
sakai_tadatsugu,酒井忠次,Sakai Tadatsugu,tokugawa,1527,1596,Wikidata / verified data,生没年確認,○,○,○,○,○,○
honda_tadakatsu,本多忠勝,Honda Tadakatsu,tokugawa,1548,1610,Wikidata / verified data,生没年確認,×,×,○,○,○,○
sakakibara_yasumasa,榊原康政,Sakakibara Yasumasa,tokugawa,1548,1606,Wikidata / verified data,生没年確認,×,×,○,○,○,○
ii_naomasa,井伊直政,Ii Naomasa,tokugawa,1561,1602,Wikidata / verified data,生没年確認,×,×,×,○,○,○
ishikawa_kazumasa,石川数正,Ishikawa Kazumasa,tokugawa,1533,1593,Wikidata / verified data,生没年確認,○,○,○,○,○,○
torii_mototada,鳥居元忠,Torii Mototada,tokugawa,1539,1600,Wikidata / verified data,生没年確認,×,○,○,○,○,○
hattori_hanzo,服部半蔵,Hattori Hanzo,tokugawa,,,未確認,未確認,?,?,?,?,?,?
saito_yoshitatsu,斎藤義龍,Saito Yoshitatsu,saito,1527,1561,Wikidata / verified data,生没年確認,○,○,×,×,×,×
saito_tatsuoki,斎藤龍興,Saito Tatsuoki,saito,1548,1573,Wikidata / verified data,生没年確認,×,×,○,×,×,×
takenaka_hanbei,竹中半兵衛,Takenaka Hanbei,saito,,,未確認,未確認,?,?,?,?,?,?
ando_morinari,安藤守就,Ando Morinari,saito,1503,1582,Wikidata / verified data,生没年確認,○,○,○,○,○,○
azai_nagamasa,浅井長政,Azai Nagamasa,azai,1545,1573,Wikidata / verified data,生没年確認,×,○,○,×,×,×
azai_hisamasa,浅井久政,Azai Hisamasa,azai,1526,1573,Wikidata / verified data,生没年確認,○,○,○,×,×,×
isono_kazumasa,磯野員昌,Isono Kazumasa,azai,1523,1583,Wikidata / verified data,生没年確認,○,○,○,○,○,○
endo_naotsune,遠藤直経,Endo Naotsune,azai,1531,1570,Wikidata / verified data,生没年確認,○,○,○,×,×,×
asakura_yoshikage,朝倉義景,Asakura Yoshikage,asakura,1533,1573,Wikidata / verified data,生没年確認,○,○,○,×,×,×
magara_naotaka,真柄直隆,Magara Naotaka,asakura,1536,1570,Wikidata / verified data,生没年確認,○,○,○,×,×,×
asakura_kageakira,朝倉景鏡,Asakura Kageakira,asakura,1529,1574,Wikidata / verified data,生没年確認,○,○,○,○,×,×
rokkaku_yoshikata,六角義賢,Rokkaku Yoshikata,rokkaku,1521,1598,Wikidata / verified data,生没年確認,○,○,○,○,○,○
rokkaku_yoshiharu,六角義治,Rokkaku Yoshiharu,rokkaku,1545,1612,Wikidata / verified data,生没年確認,×,○,○,○,○,○
gamo_katahide,蒲生賢秀,Gamo Katahide,rokkaku,1534,1584,Wikidata / verified data,生没年確認,○,○,○,○,○,○
gamo_ujisato,蒲生氏郷,Gamo Ujisato,rokkaku,1556,1595,Wikidata / verified data,生没年確認,×,×,×,○,○,○
miyoshi_nagayoshi,三好長慶,Miyoshi Nagayoshi,miyoshi,1522,1564,Wikidata / verified data,生没年確認,○,○,×,×,×,×
miyoshi_yoshitsugu,三好義継,Miyoshi Yoshitsugu,miyoshi,1549,1573,Wikidata / verified data,生没年確認,×,×,○,×,×,×
matsunaga_hisahide,松永久秀,Matsunaga Hisahide,miyoshi,1508,1577,Wikidata / verified data,生没年確認,○,○,○,○,×,×
miyoshi_nagayasu,三好長逸,Miyoshi Nagayasu,miyoshi,,,未確認,未確認,?,?,?,?,?,?
sogo_kazumasa,十河一存,Sogo Kazumasa,miyoshi,1532,1561,Wikidata / verified data,生没年確認,○,○,×,×,×,×
shinohara_nagafusa,篠原長房,Shinohara Nagafusa,miyoshi,1550,1573,Wikidata / verified data,生没年確認,×,×,○,×,×,×
iwanari_tomomichi,岩成友通,Iwanari Tomomichi,miyoshi,,,未確認,未確認,?,?,?,?,?,?
mori_motonari,毛利元就,Mori Motonari,mori,1497,1571,Wikidata / verified data,生没年確認,○,○,○,×,×,×
mori_takamoto,毛利隆元,Mori Takamoto,mori,1523,1563,Wikidata / verified data,生没年確認,○,○,×,×,×,×
mori_terumoto,毛利輝元,Mori Terumoto,mori,1553,1625,Wikidata / verified data,生没年確認,×,×,○,○,○,○
kikkawa_motoharu,吉川元春,Kikkawa Motoharu,mori,1530,1586,Wikidata / verified data,生没年確認,○,○,○,○,○,○
kobayakawa_takakage,小早川隆景,Kobayakawa Takakage,mori,1533,1597,Wikidata / verified data,生没年確認,○,○,○,○,○,○
fukuhara_sadatoshi,福原貞俊,Fukuhara Sadatoshi,mori,1512,1593,Wikidata / verified data,生没年確認,○,○,○,○,○,○
murakami_takeyoshi,村上武吉,Murakami Takeyoshi,mori,1533,1604,Wikidata / verified data,生没年確認,○,○,○,○,○,○
ankokuji_ekei,安国寺恵瓊,Ankokuji Ekei,mori,1539,1600,Wikidata / verified data,生没年確認,×,○,○,○,○,○
amago_haruhisa,尼子晴久,Amago Haruhisa,amago,1514,1561,Wikidata / verified data,生没年確認,○,○,×,×,×,×
amago_yoshihisa,尼子義久,Amago Yoshihisa,amago,1540,1610,Wikidata / verified data,生没年確認,×,○,○,○,○,○
yamanaka_shikanosuke,山中鹿介,Yamanaka Shikanosuke,amago,,,未確認,未確認,?,?,?,?,?,?
ukita_naoie,宇喜多直家,Ukita Naoie,ukita,1529,1582,Wikidata / verified data,生没年確認,○,○,○,○,○,○
ukita_hideie,宇喜多秀家,Ukita Hideie,ukita,1572,1655,Wikidata / verified data,生没年確認,×,×,×,×,×,×
chosokabe_kunichika,長宗我部国親,Chosokabe Kunichika,chosokabe,1504,1560,Wikidata / verified data,生没年確認,○,○,×,×,×,×
chosokabe_motochika,長宗我部元親,Chosokabe Motochika,chosokabe,1539,1599,Wikidata / verified data,生没年確認,×,○,○,○,○,○
kosokabe_chikayasu,香宗我部親泰,Kosokabe Chikayasu,chosokabe,1543,1593,Wikidata / verified data,生没年確認,×,○,○,○,○,○
kira_chikasada,吉良親貞,Kira Chikasada,chosokabe,1541,1576,Wikidata / verified data,生没年確認,×,○,○,○,×,×
kono_michinao,河野通直,Kono Michinao,kono,1555,1587,Wikidata / verified data,生没年確認,×,×,○,○,○,○
ichijo_kanesada,一条兼定,Ichijo Kanesada,ichijo,1543,1585,Wikidata / verified data,生没年確認,×,○,○,○,○,○
otomo_sorin,大友宗麟,Otomo Sorin,otomo,,,未確認,未確認,?,?,?,?,?,?
tachibana_dosetsu,立花道雪,Tachibana Dosetsu,otomo,1513,1585,Wikidata / verified data,生没年確認,○,○,○,○,○,○
takahashi_joun,高橋紹運,Takahashi Joun,otomo,1548,1586,Wikidata / verified data,生没年確認,×,×,○,○,○,○
tachibana_muneshige,立花宗茂,Tachibana Muneshige,otomo,1567,1643,Wikidata / verified data,生没年確認,×,×,×,×,×,○
yoshioka_nagamasu,吉岡長増,Yoshioka Nagamasu,otomo,,,未確認,未確認,?,?,?,?,?,?
usuki_akihaya,臼杵鑑速,Usuki Akihaya,otomo,1520,1575,Wikidata / verified data,生没年確認,○,○,○,○,×,×
ryuzoji_takanobu,龍造寺隆信,Ryuzoji Takanobu,ryuzoji,1529,1584,Wikidata / verified data,生没年確認,○,○,○,○,○,○
nabeshima_naoshige,鍋島直茂,Nabeshima Naoshige,ryuzoji,1538,1618,Wikidata / verified data,生没年確認,×,○,○,○,○,○
ryuzoji_ieharu,龍造寺家就,Ryuzoji Ieharu,ryuzoji,,,未確認,未確認,?,?,?,?,?,?
shimazu_takahisa,島津貴久,Shimazu Takahisa,shimazu,1514,1571,Wikidata / verified data,生没年確認,○,○,○,×,×,×
shimazu_yoshihisa,島津義久,Shimazu Yoshihisa,shimazu,1533,1611,Wikidata / verified data,生没年確認,○,○,○,○,○,○
shimazu_yoshihiro,島津義弘,Shimazu Yoshihiro,shimazu,1535,1619,Wikidata / verified data,生没年確認,○,○,○,○,○,○
shimazu_toshihisa,島津歳久,Shimazu Toshihisa,shimazu,1537,1592,Wikidata / verified data,生没年確認,○,○,○,○,○,○
shimazu_iehisa,島津家久,Shimazu Iehisa,shimazu,1547,1587,Wikidata / verified data,生没年確認,×,○,○,○,○,○
niiro_tadamoto,新納忠元,Niiro Tadamoto,shimazu,1526,1611,Wikidata / verified data,生没年確認,○,○,○,○,○,○
ijuin_tadamune,伊集院忠棟,Ijuin Tadamune,shimazu,1541,1599,Wikidata / verified data,生没年確認,×,○,○,○,○,○
date_harumune,伊達晴宗,Date Harumune,date,1519,1578,Wikidata / verified data,生没年確認,○,○,○,○,○,×
date_terumune,伊達輝宗,Date Terumune,date,1544,1585,Wikidata / verified data,生没年確認,×,○,○,○,○,○
oniniwa_yoshinao,鬼庭良直,Oniniwa Yoshinao,date,1513,1586,Wikidata / verified data,生没年確認,○,○,○,○,○,○
mogami_yoshimori,最上義守,Mogami Yoshimori,mogami,1521,1590,Wikidata / verified data,生没年確認,○,○,○,○,○,○
mogami_yoshiaki,最上義光,Mogami Yoshiaki,mogami,1546,1614,Wikidata / verified data,生没年確認,×,○,○,○,○,○
nanbu_harumasa,南部晴政,Nanbu Harumasa,nanbu,1517,1582,Wikidata / verified data,生没年確認,○,○,○,○,○,○
ashina_moriuji,蘆名盛氏,Ashina Moriuji,ashina,1521,1580,Wikidata / verified data,生没年確認,○,○,○,○,○,×
satake_yoshishige,佐竹義重,Satake Yoshishige,satake,1547,1612,Wikidata / verified data,生没年確認,×,○,○,○,○,○
satomi_yoshitaka,里見義堯,Satomi Yoshitaka,satomi,1507,1574,Wikidata / verified data,生没年確認,○,○,○,○,×,×
utsunomiya_hirotsuna,宇都宮広綱,Utsunomiya Hirotsuna,utsunomiya,1543,1576,Wikidata / verified data,生没年確認,×,○,○,○,×,×
kitabatake_tomonori,北畠具教,Kitabatake Tomonori,kitabatake,1528,1576,Wikidata / verified data,生没年確認,○,○,○,○,×,×
murakami_yoshikiyo,村上義清,Murakami Yoshikiyo,murakami,1501,1573,Wikidata / verified data,生没年確認,○,○,○,×,×,×
jinbo_nagamoto,神保長職,Jinbo Nagamoto,jinbo,,1572,Wikidata / verified data,一部確認,?,?,?,×,×,×
hatakeyama_yoshitsugu,畠山義続,Hatakeyama Yoshitsugu,hatakeyama,1518,1590,Wikidata / verified data,生没年確認,○,○,○,○,○,○
isshiki_yoshimichi,一色義道,Isshiki Yoshimichi,isshiki,,1579,Wikidata / verified data,一部確認,?,?,?,?,?,×
hatano_hideharu,波多野秀治,Hatano Hideharu,hatano,1541,1579,Wikidata / verified data,生没年確認,×,○,○,○,○,×
tsutsui_junkei,筒井順慶,Tsutsui Junkei,tsutsui,1549,1584,Wikidata / verified data,生没年確認,×,×,○,○,○,○
kennyo,本願寺顕如,Honganji Kennyo,honganji,,,未確認,未確認,?,?,?,?,?,?
shimotsuma_rairyu,下間頼廉,Shimotsuma Rairyu,honganji,1537,1626,Wikidata / verified data,生没年確認,○,○,○,○,○,○
