ID,勢力・施設名称,支配大名,X,Y,近くの城
kusatsu_onsen,草津温泉,,1394,675,小諸城
arima_onsen,有馬温泉,,862,828,有岡城
dogo_onsen,道後温泉,,525,924,湯築城
asahi_gold_mine,朝日金山,,1568,517,村上城
kurokawa_gold_mine,黒川金山,,1430,788,岩殿城
iwami_silver_mine,石見銀山,,514,745,山吹城
ikuno_silver_mine,生野銀山,,825,756,竹田城
tada_silver_mine,多田銀山,,891,817,芥川山城
ashio_copper_mine,足尾銅山,,1528,672,唐沢山城
rinnoji,輪王寺,,1561,668,宇都宮城
haruna_shrine,榁名神社,,1414,699,小諸城
ise_jingu,伊勢神宮,北畠,1062,918,霧山城
kashiwazaki_port,柏崎湊,上杉,1400,584,北条城
sakata_port,酒田湊,大宝寺,1595,443,大宝寺城
hakata_port,博多湊,大友,239,876,立花山城
tsuruga_port,敦賀湊,河野,1023,736,金ケ崎城
kunitomo_gunsmith,国友鉄砲鍛冶,,1050,795,観音寺城
saika_gunsmith,雑賀鉄砲鍛冶,,848,956,雑賀城
azuchi_seminary,安土セミナリヨ,,1010,824,観音寺城
jigen_in,慈眼院,,1553,750,古河御所
wakae_nanbando,若江南蛮堂,,908,869,高屋城
kippu_horse_farm,吉布馬牧,,674,723,羽衣石城
kiso_horse_farm,木曽馬牧,,1224,739,木曽福島城
nanbu_horse_farm,南部馬牧,,1816,411,双子城
noshima_pirates,能島水軍,,563,875,湯築城
innoshima_pirates,因島水軍,,582,856,神辺城
kurushima_pirates,来島水軍,,549,882,湯築城
kuki_pirates,志摩水軍,,1089,954,鳥羽城
wakasa_pirates,若狭水軍,,933,744,丹波亀山城
kumano_pirates,熊野水軍,,905,1049,古処山城
shiwaku_pirates,塩飽水軍,,650,879,浦戸城
satomi_pirates,里見水軍,,1611,922,久留里城
matsuura_pirates,松浦水軍,,159,885,平戸城
kokujin_mino_marker,美濃国人衆,,1164,773,犬山城
kokujin_shinano_marker,信濃国人衆,,1364,670,海津城
kokujin_omi_marker,近江国人衆,,1039,813,観音寺城
kokujin_higo_marker,肥後国人衆,,268,985,岩尾城
kokujin_kii_marker,紀伊国人衆,,859,992,雑賀城
kokujin_mutsu_marker,陸奥国人衆,,1749,250,三戸城
kokujin_dewa_marker,出羽国人衆,,1638,401,山根館
kokujin_chikugo_marker,筑後国人衆,,243,940,柳川城
iga_ninja_marker,伊賀衆,,1006,871,伊賀上野城
koka_ninja_marker,甲賀衆,,1012,851,水口城
fuma_ninja_marker,風魔衆,,1451,874,小田原城
suppa_ninja_marker,透波,,1419,813,岩殿城
nokizaru_ninja_marker,軒猿,,1327,620,海津城
kurohabaki_ninja_marker,黒脛巾組,,1804,588,小高城
higashiyama_onsen,東山温泉,,1554,624,黒川城
dake_onsen,岳温泉,,1659,611,須賀川城
iizaka_onsen,飯坂温泉,,1661,568,白石城
naruko_onsen,鳴子温泉,,1707,461,岩出山城
kamasaki_onsen,鎌先温泉,,1677,549,白石城
nozawa_onsen,野沢温泉,,1379,632,海津城
wakura_onsen,和倉温泉,,1180,572,七尾城
yunokawa_onsen,湯の川温泉,,559,711,月山富田城
ureshino_onsen,嬉野温泉,,161,941,大村城
ibusuki_onsen,指宿温泉,,147,1210,内城
isasumi_jinja,伊佐須美神社,,1577,617,黒川城
dewa_jinja,出羽神社,,1585,484,大宝寺城
gassan_jinja,月山神社,,1599,482,大宝寺城
oarai_jinja,大洗磯前神社,,1690,739,太田城
kashima_jingu,鹿島神宮,,1704,821,鹿島城
katori_jingu,香取神宮,,1677,826,佐倉城
atsuta_jingu,熱田神宮,,1116,828,清洲城
nachi_taisha,那智神社,,920,1035,古処山城
kumano_taisha,熊野神社,,898,1015,古処山城
kibitsu_jinja,吉備津神社,,680,794,岡山城
izumo_taisha,出雲大社,,537,719,山吹城
dazaifu_tenmangu,大宰府天満宮,,230,921,柳川城
risshakuji,立石寺,,1650,528,山形城
chusonji,中尊寺,,1747,447,花巻城
naritasan,新勝寺,,1653,834,佐倉城
kotokuin,高徳院,,1514,873,小机城
shuzenji,修善寺,,1412,927,伊豆韮山城
erinji,恵林寺,,1397,799,躑躅ヶ崎館
ashikaga_gakko,足利学校,,1518,736,唐沢山城
untoan,雲洞庵,,1447,621,坂戸城
rinsenji,林泉寺,,1350,602,春日山城
zenkoji,善光寺,,1345,654,海津城
todaiji,東大寺,,952,881,多聞山城
horyuji,法隆寺,,928,899,多聞山城
hontokuji,本徳寺,,758,807,御着城
kesennuma_minato,気仙沼湊,,1821,468,寺池城
noshiro_minato,能代湊,,1627,321,山根館
tsuchizaki_minato,土崎湊,,1636,343,山根館
matsushima_minato,松島湊,,1760,522,利府城
kisarazu_minato,木更津湊,,1583,871,久留里城
kanagawa_minato,神奈川湊,,1549,854,小机城
misaki_minato,三崎湊,,1527,904,小机城
doi_minato,土肥湊,,1392,912,伊豆韮山城
shimizu_minato,清水湊,,1350,885,蒲原城
hyogo_tsu,兵庫津,,845,854,有岡城
tomo_no_tsu,鞆の津,,621,839,神辺城
kanazawa_minato,金沢湊,,1148,612,尾山御坊
yamakawa_minato,山川湊,,115,1191,内城
yoshino_mine,吉野鉱山,,1610,515,米沢城
sado_kinzan,佐渡金山,,1412,492,雑太城
akazawa_kinzan,赤沢金山,,1689,686,太田城
miyako_horsefarm,宮古馬牧,,1864,402,双子城
soma_horsefarm,相馬中村馬牧,,1734,596,小高城
edo_town,江戸街,,1563,831,江戸城
noto_fishing_village,能登漁村,,1250,524,七尾城
sakai_port_town,堺湊町,,874,887,岸和田城
matsumoto_yashiki,松本屋敷,,547,808,吉田郡山城
yoshida_yakata,吉田館,,707,911,勝瑞城
hakone_onsen,箱根温泉,,1435,882,伊豆韮山城
katsuura_minato,勝浦湊,,1593,926,館山城
chihaya_kouzan,千早鉱山,,1178,992,曳馬城
togakushi_ninja_marker,戸隠衆,,1315,643,海津城
sera_ninja_marker,世良衆,,475,789,吉田郡山城
hieizan_enryakuji,比叡山延暦寺,,983,810,二条城
koyasan_kongobuji,高野山金剛峯寺,,887,952,雑賀城
kofukuji,興福寺,,941,888,多聞山城
suwa_taisha,諏訪大社,,1329,721,上原城
itsukushima_jinja,厳島神社,,486,843,吉田郡山城
zuisenji,瑞泉寺,,1181,626,富山城
honshoji,本証寺,,1149,852,岡崎城
ganshoji,願証寺,,1096,828,長島城
yoshizaki_gobo,吉崎御坊,,1070,679,一乗谷城
negoroji,根来寺,,874,932,上月城
yahiko_jinja,彌彦神社,,1434,568,与板城
hokekyoji,法華経寺,,1592,825,江戸城
kuonji,久遠寺,,1348,835,蒲原城
chozenji,長善寺,,1245,934,曳馬城
matsuoka_tera,松岡寺,,1245,839,長篠城
aga_gobo,英賀御坊,,1115,964,鳥羽城
oizumiji,大泉寺,,1363,787,躑躅ヶ崎館
