ID,拠点名,英名,種別,国,MX,MY,規模,防御,荘園領主,水軍,S1180,S1183,S1184,S1185A,S1185B,SIF,備考
kokuga_yamashiro,山城国衙,Yamashiro Provincial Seat,kokuga,yamashiro,0.469498,0.626993,203,28,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_yamato,大和国衙,Yamato Provincial Seat,kokuga,yamato,0.474282,0.675877,403,36,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_kawachi,河内国衙,Kawachi Provincial Seat,kokuga,kawachi,0.443780,0.667375,218,29,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_izumi,和泉国衙,Izumi Provincial Seat,kokuga,izumi,0.427033,0.686504,127,25,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_settsu,摂津国衙,Settsu Provincial Seat,kokuga,settsu,0.438397,0.645058,272,31,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_iga,伊賀国衙,Iga Provincial Seat,kokuga,iga,0.497010,0.650372,90,24,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_ise,伊勢国衙,Ise Provincial Seat,kokuga,ise,0.528708,0.676939,510,40,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_shima,志摩国衙,Shima Provincial Seat,kokuga,shima,0.547249,0.698193,16,21,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_owari,尾張国衙,Owari Provincial Seat,kokuga,owari,0.557416,0.611052,412,36,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_mikawa,三河国衙,Mikawa Provincial Seat,kokuga,mikawa,0.578947,0.653560,261,30,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_totomi,遠江国衙,Totomi Provincial Seat,kokuga,totomi,0.601675,0.682253,230,29,,,taira,kai,kamakura,kamakura,kamakura,taira,
kokuga_suruga,駿河国衙,Suruga Provincial Seat,kokuga,suruga,0.670455,0.669501,135,25,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kokuga_izu,伊豆国衙,Izu Provincial Seat,kokuga,izu,0.709330,0.698193,62,22,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kokuga_kai,甲斐国衙,Kai Provincial Seat,kokuga,kai,0.689593,0.594049,164,27,,,taira,kai,kamakura,kamakura,kamakura,kai,
kokuga_sagami,相模国衙,Sagami Provincial Seat,kokuga,sagami,0.742225,0.649309,175,27,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kokuga_musashi,武蔵国衙,Musashi Provincial Seat,kokuga,musashi,0.770335,0.606801,720,49,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kokuga_awa_kanto,安房国衙,Awa(Boso) Provincial Seat,kokuga,awa_kanto,0.789474,0.704570,41,22,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kokuga_kazusa,上総国衙,Kazusa Provincial Seat,kokuga,kazusa,0.796651,0.666312,391,36,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kokuga_shimousa,下総国衙,Shimousa Provincial Seat,kokuga,shimousa,0.793062,0.620616,424,37,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kokuga_hitachi,常陸国衙,Hitachi Provincial Seat,kokuga,hitachi,0.834330,0.564293,572,43,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kokuga_omi,近江国衙,Omi Provincial Seat,kokuga,omi,0.487440,0.616366,792,52,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_mino,美濃国衙,Mino Provincial Seat,kokuga,mino,0.548445,0.591923,413,37,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_hida,飛騨国衙,Hida Provincial Seat,kokuga,hida,0.598684,0.509033,24,21,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_shinano,信濃国衙,Shinano Provincial Seat,kokuga,shinano,0.649522,0.515409,294,32,,,taira,kiso,kamakura,kamakura,kamakura,kiso,
kokuga_kozuke,上野国衙,Kozuke Provincial Seat,kokuga,kozuke,0.728469,0.521785,446,38,,,taira,kiso,kamakura,kamakura,kamakura,kiso,
kokuga_shimotsuke,下野国衙,Shimotsuke Provincial Seat,kokuga,shimotsuke,0.759569,0.535600,370,35,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kokuga_mutsu,陸奥国衙,Mutsu Provincial Seat,kokuga,mutsu,0.875598,0.347503,752,50,,,oshu,oshu,oshu,oshu,oshu,oshu,
kokuga_dewa,出羽国衙,Dewa Provincial Seat,kokuga,dewa,0.800837,0.266738,392,36,,,oshu,oshu,oshu,oshu,oshu,oshu,
kokuga_wakasa,若狭国衙,Wakasa Provincial Seat,kokuga,wakasa,0.489833,0.552604,77,23,,,taira,taira,kamakura,kamakura,kamakura,taira,
kokuga_echizen,越前国衙,Echizen Provincial Seat,kokuga,echizen,0.527512,0.499469,449,38,,,taira,kiso,kamakura,kamakura,kamakura,taira,
kokuga_kaga,加賀国衙,Kaga Provincial Seat,kokuga,kaga,0.571172,0.437832,320,33,,,taira,kiso,kamakura,kamakura,kamakura,taira,
kokuga_noto,能登国衙,Noto Provincial Seat,kokuga,noto,0.591507,0.393199,189,28,,,taira,kiso,kamakura,kamakura,kamakura,taira,
kokuga_etchu,越中国衙,Etchu Provincial Seat,kokuga,etchu,0.607656,0.437832,342,34,,,taira,kiso,kamakura,kamakura,kamakura,taira,
kokuga_echigo,越後国衙,Echigo Provincial Seat,kokuga,echigo,0.682416,0.421892,263,31,,,taira,kiso,kamakura,kamakura,kamakura,taira,
